Index,App name,Source file,Buggy method,Fixing version,Anti-pattern,Issue report/pull request,Issue site
1,WordPress,ImageHelper.java,createThumbnailFromUri,7330d81,,Issue-1122;Pull-1134,https://github.com/wordpress-mobile/WordPress-Android/pull/1134
2,WordPress,EditPostContentFragment.java; ImageHelper.java,addMedia; getThumbnailForWPImageSpan; createThumbnail,d98266f,,pull-977;Issue-967,https://github.com/wordpress-mobile/WordPress-Android/pull/977
3,WordPress,AztecEditorFragment.java,appendMediaFile,2be9a5b,Image decoding without resizing,Pull-5290,https://github.com/wordpress-mobile/WordPress-Android/pull/5290
4,WordPress,WordPress.java,getBitmapCache,3cdc0a9,,Issue-5613;Pull-5727,https://github.com/wordpress-mobile/WordPress-Android/issues/5613
5,WordPress,MediaPreviewActivity.java,loadImage,528f2a2,,Issue-5777;Pull-5804,https://github.com/wordpress-mobile/WordPress-Android/issues/5777
6,WordPress,PostUploadService.java,uploadMediaFile,005ddfa,,Issue-950;Pull-965,https://github.com/wordpress-mobile/WordPress-Android/issues/950
7,WordPress,WPMediaUtils.java,getOptimizedMedia,2e4a7e8,,Issue-5228;Pull-5590,https://github.com/wordpress-mobile/WordPress-Android/issues/5228
8,WordPress,EditPostContentFragment.java,loadWPImageSpanThumbnail,ef0c6fc,,Issue-1317;Pull-1327,https://github.com/wordpress-mobile/WordPress-Android/issues/1317
9,WordPress,PhotoChooserPreviewActivity.java,onCreate,e2df23f,Image decoding without resizing,Pull-5221,https://github.com/wordpress-mobile/WordPress-Android/pull/5221
10,WordPress,ImageSettingsDialogFragment,loadThumbnail,9f87bc0,Image decoding without resizing,Pull-6267,https://github.com/wordpress-mobile/WordPress-Android/pull/6267
11,WordPress,AztecImageLoader.java,loadImage,9f87bc0,Image decoding without resizing,Pull-6267,https://github.com/wordpress-mobile/WordPress-Android/pull/6267
12,WordPress,AztecImageLoader.java,loadImage,dcb7db1,Loop-based redundant image decoding,Pull--6676,https://github.com/wordpress-mobile/WordPress-Android/pull/6676
13,WordPress,AztecImageLoader.java,loadImage,dcb7db1,Loop-based redundant image decoding,Pull--6676,https://github.com/wordpress-mobile/WordPress-Android/pull/6676
14,WordPress,EditPostActivity.java,initializeEditorFragment,8d3e9e6,,Issue6945;Pull--7057,https://github.com/wordpress-mobile/WordPress-Android/pull/7057
15,WordPress,EditPostActivity.java,initializeEditorFragment,8d3e9e6,,Issue6945;Pull--7057,https://github.com/wordpress-mobile/WordPress-Android/pull/7057
16,WordPress,AztecEditorFragment.java,onResponse,8d3e9e6,,Issue6945;Pull--7057,https://github.com/wordpress-mobile/WordPress-Android/pull/7057
17,WordPress,AztecEditorFragment.java,onResponse,8d3e9e6,,Issue6945;Pull--7057,https://github.com/wordpress-mobile/WordPress-Android/pull/7057
18,WordPress,EditPostActivity.java,getVideoFrameFromVideo,8d3e9e6,,Issue6945;Pull--7057,https://github.com/wordpress-mobile/WordPress-Android/pull/7057
19,WordPress,AztecImageLoader.java,loadImage,8d3e9e6,,Issue6945;Pull--7057,https://github.com/wordpress-mobile/WordPress-Android/pull/7057
20,WordPress,AztecImageLoader.java,onResponse,8d3e9e6,Image decoding without resizing,Issue6945;Pull--7057,https://github.com/wordpress-mobile/WordPress-Android/pull/7057
21,WordPress,AztecImageLoader.java,loadImage,f018416,,Issue--6621;Pull--6622,https://github.com/wordpress-mobile/WordPress-Android/pull/6622
22,WordPress,WordPress.java,onTrimMemory,4f06a04,Unbounded image caching,Issue-425;Pull-427,https://github.com/wordpress-mobile/WordPress-Android/issues/425
23,WordPress,EditPostActivity.java,setPostContentFromShareAction,437735a,Image decoding in UI event handlers,Issue-6528;Pull-6547,https://github.com/wordpress-mobile/WordPress-Android/issues/6528
24,WordPress,EditPostActivity.java,onPhotoPickerMediaChosen,437735a,Image decoding in UI event handlers,Issue-6528;Pull-6547,https://github.com/wordpress-mobile/WordPress-Android/issues/6528
25,WordPress,EditPostActivity.java,onPhotoPickerMediaChosen,437735a,Image decoding in UI event handlers,Issue-6528;Pull-6547,https://github.com/wordpress-mobile/WordPress-Android/issues/6528
26,WordPress,EditPostActivity.java,fetchMedia,437735a,Image decoding in UI event handlers,Issue-6528;Pull-6547,https://github.com/wordpress-mobile/WordPress-Android/issues/6528
27,WordPress,EditPostActivity.java,fetchMedia,437735a,Image decoding in UI event handlers,Issue-6528;Pull-6547,https://github.com/wordpress-mobile/WordPress-Android/issues/6528
28,WordPress,EditPostActivity.java,onActivityResult,437735a,Image decoding in UI event handlers,Issue-6528;Pull-6547,https://github.com/wordpress-mobile/WordPress-Android/issues/6528
29,WordPress,EditPostActivity.java,onActivityResult,437735a,Image decoding in UI event handlers,Issue-6528;Pull-6547,https://github.com/wordpress-mobile/WordPress-Android/issues/6528
30,WordPress,EditPostActivity.java,onActivityResult,437735a,Image decoding in UI event handlers,Issue-6528;Pull-6547,https://github.com/wordpress-mobile/WordPress-Android/issues/6528
31,WordPress,EditPostActivity.java,onActivityResult,437735a,Image decoding in UI event handlers,Issue-6528;Pull-6547,https://github.com/wordpress-mobile/WordPress-Android/issues/6528
32,WordPress,EditPostActivity.java,onActivityResult,437735a,Image decoding in UI event handlers,Issue-6528;Pull-6547,https://github.com/wordpress-mobile/WordPress-Android/issues/6528
33,Chanu,PostReplyActivity.java,setImagePreview,bd844c2,Loop-based redundant image decoding,Pull-419,https://github.com/grzegorznittner/chanu/pull/419
34,Chanu,WebImageDialogFragment.java,downloadImage,bd844c2,Loop-based redundant image decoding,Pull-419,https://github.com/grzegorznittner/chanu/pull/419
35,Chanu,BoardViewer.java,initStatics,bd844c2,Loop-based redundant image decoding,Pull-419,https://github.com/grzegorznittner/chanu/pull/419
36,Chanu,ThreadViewer.java,initStatics,bd844c2,Loop-based redundant image decoding,Pull-419,https://github.com/grzegorznittner/chanu/pull/419
37,Chanu,ThreadViewer.java,createExpandedDisplayImageOptions,bd844c2,Loop-based redundant image decoding,Pull-419,https://github.com/grzegorznittner/chanu/pull/419
38,Chanu,SinglePhotoDataAdapter.java,pause,25fab15,,Issue-134,https://github.com/grzegorznittner/chanu/issues/134
39,Owncloud,PreviewImageFragment.java,doInBackground,288c148,Image decoding without resizing,Issue-921;Pull-955,https://github.com/owncloud/android/issues/921
40,Owncloud,PreviewImageFragment.java,doInBackground,288c148,,Issue-921;Pull-956,https://github.com/owncloud/android/issues/921
41,Owncloud,ThumbnailsCacheManager.java,doOCFileInBackground,a1bc147,,Pull-982,https://github.com/owncloud/android/pull/982
42,Owncloud,PreviewImageFragment,onStart,a1bc147,Loop-based redundant image decoding,Pull-982,https://github.com/owncloud/android/pull/982
43,Owncloud,ThumbnailsCacheManager.java,doFileInBackground,a1bc147,,Pull-982,https://github.com/owncloud/android/pull/982
44,Owncloud,ThumbnailsCacheManager.java,doFileInBackground,a1bc147,,Pull-982,https://github.com/owncloud/android/pull/982
