Index,App name,Source file,Buggy method,Fixing version,Anti-pattern,Issue report/pull request,Issue site,,,,
1,KISS,ApplicationLifecycleHandler.java,onActivityResumed,55fde0c,,Issue-1054,https://github.com/Neamar/KISS/issues/1054,,,,
2,Andstatus,ImageFile.java,showImage,9ed101d,,Issue-478,https://github.com/andstatus/andstatus/issues/478,,,,
3,Mtg-familiar,PreferenceAdapter.java,getImageCacheSize,ccf3e86,,Issue-285,https://github.com/AEFeinstein/mtg-familiar/issues/285,,,,
4,Slidshow,CustomImageStrategy.java,load,4c9729f,,Issue-106,https://github.com/ScreamingHawk/android-slideshow/issues/106,,,,
5,Slidshow,ImageActivity.java,loadPreferences,437aeb7,,Issue-80,https://github.com/ScreamingHawk/android-slideshow/issues/80,,,,
6,Collect,ShowQRCodeFragment.java,onActivityResult,6b05133,Image decoding without resizing,Pull-2985,https://github.com/opendatakit/collect/pull/2985,,,,
7,Collect,ImageConverter.java,rotateBitmap,fc090b8,,Pull-2422,https://github.com/opendatakit/collect/pull/2422,,,,
8,Collect,DrawView.java,resetImage,4059ed1,,Pull-2020,https://github.com/opendatakit/collect/pull/2020,,,,
9,Collect,MediaLayout.java,setAVT,4059ed1,,Pull-2020,https://github.com/opendatakit/collect/pull/2020,,,,
10,Collect,GridMultiWidget.java,GridMultiWidget,4059ed1,,Pull-2020,https://github.com/opendatakit/collect/pull/2020,,,,
11,Collect,GridWidget.java,GridWidget,4059ed1,,Pull-2020,https://github.com/opendatakit/collect/pull/2020,,,,
12,Collect,LabelWidget.java,LabelWidget,4059ed1,,Pull-2020,https://github.com/opendatakit/collect/pull/2020,,,,
13,Collect,ListMultiWidget.java,ListMultiWidget,4059ed1,,Pull-2020,https://github.com/opendatakit/collect/pull/2020,,,,
14,Collect,ListWidget.java,ListWidget,4059ed1,,Pull-2020,https://github.com/opendatakit/collect/pull/2020,,,,
15,Muzei,AppWidgetUpdateTask.java,doInBackground,2976de3,,Pull-501,https://github.com/romannurik/muzei/pull/501,,,,
